state_id,audit_name,metabolite_id,metabolite_name,role,old_coeff,new_coeff,delta,allowed_to_change,status,message
n_limited_sugar_available,gam,s_0803,H2O,h2o,-51.482191147669404,-24.392,27.090191147669405,True,PASS,cambio permitido en hidrólisis ATP
n_limited_sugar_available,gam,s_1322,phosphate,pi,51.482191147669404,24.392,-27.090191147669405,True,PASS,cambio permitido en hidrólisis ATP
stationary_n_depleted,gam,s_0394,ADP,adp,49.4078970069814,24.392,-25.0158970069814,True,PASS,cambio permitido en hidrólisis ATP
stationary_n_depleted,gam,s_0434,ATP,atp,-49.4078970069814,-24.392,25.0158970069814,True,PASS,cambio permitido en hidrólisis ATP
stationary_n_depleted,gam,s_0794,H+,h,49.4078970069814,24.392,-25.0158970069814,True,PASS,cambio permitido en hidrólisis ATP
stationary_n_depleted,gam,s_0803,H2O,h2o,-49.4078970069814,-24.392,25.0158970069814,True,PASS,cambio permitido en hidrólisis ATP
stationary_n_depleted,gam,s_1322,phosphate,pi,49.4078970069814,24.392,-25.0158970069814,True,PASS,cambio permitido en hidrólisis ATP
glucose_depleted_fructose_available,gam,s_0394,ADP,adp,48.54360778169473,24.392,-24.151607781694732,True,PASS,cambio permitido en hidrólisis ATP
glucose_depleted_fructose_available,gam,s_0434,ATP,atp,-48.54360778169473,-24.392,24.151607781694732,True,PASS,cambio permitido en hidrólisis ATP
glucose_depleted_fructose_available,gam,s_0794,H+,h,48.54360778169473,24.392,-24.151607781694732,True,PASS,cambio permitido en hidrólisis ATP
glucose_depleted_fructose_available,gam,s_0803,H2O,h2o,-48.54360778169473,-24.392,24.151607781694732,True,PASS,cambio permitido en hidrólisis ATP
glucose_depleted_fructose_available,gam,s_1322,phosphate,pi,48.54360778169473,24.392,-24.151607781694732,True,PASS,cambio permitido en hidrólisis ATP
hexoses_depleted,gam,s_0394,ADP,adp,48.036955477216345,24.392,-23.644955477216346,True,PASS,cambio permitido en hidrólisis ATP
hexoses_depleted,gam,s_0434,ATP,atp,-48.036955477216345,-24.392,23.644955477216346,True,PASS,cambio permitido en hidrólisis ATP
hexoses_depleted,gam,s_0794,H+,h,48.036955477216345,24.392,-23.644955477216346,True,PASS,cambio permitido en hidrólisis ATP
hexoses_depleted,gam,s_0803,H2O,h2o,-48.036955477216345,-24.392,23.644955477216346,True,PASS,cambio permitido en hidrólisis ATP
hexoses_depleted,gam,s_1322,phosphate,pi,48.036955477216345,24.392,-23.644955477216346,True,PASS,cambio permitido en hidrólisis ATP
protein_pool_depleted,gam,s_0394,ADP,adp,42.97043243243243,24.392,-18.578432432432432,True,PASS,cambio permitido en hidrólisis ATP
protein_pool_depleted,gam,s_0434,ATP,atp,-42.97043243243243,-24.392,18.578432432432432,True,PASS,cambio permitido en hidrólisis ATP
protein_pool_depleted,gam,s_0794,H+,h,42.97043243243243,24.392,-18.578432432432432,True,PASS,cambio permitido en hidrólisis ATP
protein_pool_depleted,gam,s_0803,H2O,h2o,-42.97043243243243,-24.392,18.578432432432432,True,PASS,cambio permitido en hidrólisis ATP
protein_pool_depleted,gam,s_1322,phosphate,pi,42.97043243243243,24.392,-18.578432432432432,True,PASS,cambio permitido en hidrólisis ATP
ethanol_stress_high,gam,s_0394,ADP,adp,48.44227732079905,24.392,-24.05027732079905,True,PASS,cambio permitido en hidrólisis ATP
ethanol_stress_high,gam,s_0434,ATP,atp,-48.44227732079905,-24.392,24.05027732079905,True,PASS,cambio permitido en hidrólisis ATP
ethanol_stress_high,gam,s_0794,H+,h,48.44227732079905,24.392,-24.05027732079905,True,PASS,cambio permitido en hidrólisis ATP
ethanol_stress_high,gam,s_0803,H2O,h2o,-48.44227732079905,-24.392,24.05027732079905,True,PASS,cambio permitido en hidrólisis ATP
ethanol_stress_high,gam,s_1322,phosphate,pi,48.44227732079905,24.392,-24.05027732079905,True,PASS,cambio permitido en hidrólisis ATP
